dt, BIT 
23/12/2023 12:00, I 
23/12/2023 13:00, I 
23/12/2023 14:00, I 
23/12/2023 15:00, I 
23/12/2023 16:00, I 
23/12/2023 17:00, I 
23/12/2023 18:00, I 
23/12/2023 19:00, I 
23/12/2023 20:00, I 
23/12/2023 21:00, I 
23/12/2023 22:00, I 
23/12/2023 23:00, I 
24/12/2023 00:00, I 
24/12/2023 01:00, B 
24/12/2023 02:00, B 
24/12/2023 03:00, B 
24/12/2023 04:00, B 
24/12/2023 05:00, B 
24/12/2023 06:00, B 
24/12/2023 07:00, B 
24/12/2023 08:00, B 
24/12/2023 09:00, B 
24/12/2023 10:00, B 
24/12/2023 11:00, B 
24/12/2023 12:00, B 
24/12/2023 13:00, B 
24/12/2023 14:00, B 
24/12/2023 15:00, B 
24/12/2023 16:00, B 
24/12/2023 17:00, B 
24/12/2023 18:00, B 
24/12/2023 19:00, B 
24/12/2023 20:00, I 
24/12/2023 21:00, I 
24/12/2023 22:00, I 
24/12/2023 23:00, I 
25/12/2023 00:00, I 
25/12/2023 01:00, B 
25/12/2023 02:00, B 
25/12/2023 03:00, B 
25/12/2023 04:00, B 
25/12/2023 05:00, B 
25/12/2023 06:00, B 
25/12/2023 07:00, I 
25/12/2023 08:00, I 
25/12/2023 09:00, I 
25/12/2023 10:00, I 
25/12/2023 11:00, I 
25/12/2023 12:00, I 
25/12/2023 13:00, I 
25/12/2023 14:00, I 
25/12/2023 15:00, I 
25/12/2023 16:00, I 
25/12/2023 17:00, I 
25/12/2023 18:00, I 
25/12/2023 19:00, P 
25/12/2023 20:00, P 
25/12/2023 21:00, P 
25/12/2023 22:00, P 
25/12/2023 23:00, I 
26/12/2023 00:00, I 
26/12/2023 01:00, B 
26/12/2023 02:00, B 
26/12/2023 03:00, B 
26/12/2023 04:00, B 
26/12/2023 05:00, B 
26/12/2023 06:00, B 
26/12/2023 07:00, I 
26/12/2023 08:00, I 
26/12/2023 09:00, I 
26/12/2023 10:00, I 
26/12/2023 11:00, I 
26/12/2023 12:00, I 
26/12/2023 13:00, I 
26/12/2023 14:00, I 
26/12/2023 15:00, I 
26/12/2023 16:00, I 
26/12/2023 17:00, I 
26/12/2023 18:00, I 
26/12/2023 19:00, P 
26/12/2023 20:00, P 
26/12/2023 21:00, P 
26/12/2023 22:00, P 
26/12/2023 23:00, I 
27/12/2023 00:00, I 
27/12/2023 01:00, B 
27/12/2023 02:00, B 
27/12/2023 03:00, B 
27/12/2023 04:00, B 
27/12/2023 05:00, B 
27/12/2023 06:00, B 
27/12/2023 07:00, I 
27/12/2023 08:00, I 
27/12/2023 09:00, I 
27/12/2023 10:00, I 
27/12/2023 11:00, I 
27/12/2023 12:00, I 
27/12/2023 13:00, I 
27/12/2023 14:00, I 
27/12/2023 15:00, I 
27/12/2023 16:00, I 
27/12/2023 17:00, I 
27/12/2023 18:00, I 
27/12/2023 19:00, P 
27/12/2023 20:00, P 
27/12/2023 21:00, P 
27/12/2023 22:00, P 
27/12/2023 23:00, I 
28/12/2023 00:00, I 
28/12/2023 01:00, B 
28/12/2023 02:00, B 
28/12/2023 03:00, B 
28/12/2023 04:00, B 
28/12/2023 05:00, B 
28/12/2023 06:00, B 
28/12/2023 07:00, I 
28/12/2023 08:00, I 
28/12/2023 09:00, I 
28/12/2023 10:00, I 
28/12/2023 11:00, I 
28/12/2023 12:00, I 
28/12/2023 13:00, I 
28/12/2023 14:00, I 
28/12/2023 15:00, I 
28/12/2023 16:00, I 
28/12/2023 17:00, I 
28/12/2023 18:00, I 
28/12/2023 19:00, P 
28/12/2023 20:00, P 
28/12/2023 21:00, P 
28/12/2023 22:00, P 
28/12/2023 23:00, I 
29/12/2023 00:00, I 
29/12/2023 01:00, B 
29/12/2023 02:00, B 
29/12/2023 03:00, B 
29/12/2023 04:00, B 
29/12/2023 05:00, B 
29/12/2023 06:00, B 
29/12/2023 07:00, I 
29/12/2023 08:00, I 
29/12/2023 09:00, I 
29/12/2023 10:00, I 
29/12/2023 11:00, I 
29/12/2023 12:00, I 
29/12/2023 13:00, I 
29/12/2023 14:00, I 
29/12/2023 15:00, I 
29/12/2023 16:00, I 
29/12/2023 17:00, I 
29/12/2023 18:00, I 
29/12/2023 19:00, P 
29/12/2023 20:00, P 
29/12/2023 21:00, P 
29/12/2023 22:00, P 
29/12/2023 23:00, I 
30/12/2023 00:00, I 
30/12/2023 01:00, B 
30/12/2023 02:00, B 
30/12/2023 03:00, B 
30/12/2023 04:00, B 
30/12/2023 05:00, B 
30/12/2023 06:00, B 
30/12/2023 07:00, B 
30/12/2023 08:00, I 
30/12/2023 09:00, I 
30/12/2023 10:00, I 
30/12/2023 11:00, I 
30/12/2023 12:00, I 
30/12/2023 13:00, I 
30/12/2023 14:00, I 
30/12/2023 15:00, I 
30/12/2023 16:00, I 
30/12/2023 17:00, I 
30/12/2023 18:00, I 
30/12/2023 19:00, I 
30/12/2023 20:00, I 
30/12/2023 21:00, I 
30/12/2023 22:00, I 
30/12/2023 23:00, I 
31/12/2023 00:00, I 
31/12/2023 01:00, B 
31/12/2023 02:00, B 
31/12/2023 03:00, B 
31/12/2023 04:00, B 
31/12/2023 05:00, B 
31/12/2023 06:00, B 
31/12/2023 07:00, B 
31/12/2023 08:00, B 
31/12/2023 09:00, B 
31/12/2023 10:00, B 
31/12/2023 11:00, B 
31/12/2023 12:00, B 
31/12/2023 13:00, B 
31/12/2023 14:00, B 
31/12/2023 15:00, B 
31/12/2023 16:00, B 
31/12/2023 17:00, B 
31/12/2023 18:00, B 
31/12/2023 19:00, B 
31/12/2023 20:00, I 
31/12/2023 21:00, I 
31/12/2023 22:00, I 
31/12/2023 23:00, I 
